Country,Year,undesa_net_number_of_migrants
World,1955,1
More developed regions,1955,128609
Less developed regions,1955,-128608
Least developed countries,1955,-500341
"Less developed regions, excluding least developed countries",1955,371733
"Less developed regions, excluding China",1955,-84446
Land-locked Developing Countries (LLDC),1955,489194
Small Island Developing States (SIDS),1955,-504045
High-income countries,1955,1215432
Middle-income countries,1955,-203824
Upper-middle-income countries,1955,-566222
Lower-middle-income countries,1955,362398
Low-income countries,1955,-1006641
No income group available,1955,-4966
Africa,1955,-609683
Asia,1955,993748
Europe,1955,-1751713
Latin America and the Caribbean,1955,-473777
Northern America,1955,1421903
Oceania,1955,419523
Sub-Saharan Africa,1955,-186573
Eastern Africa,1955,-100487
Burundi,1955,-69947
Comoros,1955,0
Djibouti,1955,999
Eritrea,1955,997
Ethiopia,1955,-19999
Kenya,1955,0
Madagascar,1955,0
Malawi,1955,0
Mauritius,1955,2662
Mayotte,1955,2619
Mozambique,1955,-23500
Reunion,1955,2545
Rwanda,1955,0
Seychelles,1955,-2373
Somalia,1955,0
South Sudan,1955,0
Uganda,1955,0
 Tanzania,1955,10017
Zambia,1955,0
Zimbabwe,1955,-4507
Middle Africa,1955,-6140
Angola,1955,0
Cameroon,1955,0
Central African Republic,1955,0
Chad,1955,0
Congo,1955,0
Democratic Republic of Congo,1955,0
Equatorial Guinea,1955,0
Gabon,1955,2999
Sao Tome and Principe,1955,-9139
Southern Africa,1955,-25871
Botswana,1955,-7655
Eswatini,1955,-5676
Lesotho,1955,-20000
Namibia,1955,0
South Africa,1955,7460
Western Africa,1955,-54075
Benin,1955,-23001
Burkina Faso,1955,-102159
Cape Verde,1955,-5926
Cote d'Ivoire,1955,69380
Gambia,1955,0
Ghana,1955,60002
Guinea,1955,0
Guinea-Bissau,1955,-10001
Liberia,1955,-13
Mali,1955,-35031
Mauritania,1955,-1300
Niger,1955,5001
Nigeria,1955,3368
Senegal,1955,33033
Sierra Leone,1955,0
Togo,1955,-46919
Northern Africa and Western Asia,1955,-160184
Northern Africa,1955,-423110
Algeria,1955,-359943
Egypt,1955,-50100
Libya,1955,0
Morocco,1955,0
Sudan,1955,0
Tunisia,1955,-18667
Western Sahara,1955,5600
Western Asia,1955,262926
Armenia,1955,49863
Azerbaijan,1955,0
Bahrain,1955,3080
Cyprus,1955,-13800
Georgia,1955,44882
Iraq,1955,-550
Israel,1955,236870
Jordan,1955,123094
Kuwait,1955,3850
Lebanon,1955,1615
Oman,1955,-10000
Qatar,1955,5687
Saudi Arabia,1955,26289
Palestine,1955,-68816
Syria,1955,-70000
Turkey,1955,-19000
United Arab Emirates,1955,-138
Yemen,1955,-50000
 Central and Southern Asia,1955,525786
Central Asia,1955,768007
Kazakhstan,1955,511180
Kyrgyzstan,1955,17524
Tajikistan,1955,58359
Turkmenistan,1955,8725
Uzbekistan,1955,172219
Southern Asia,1955,-242221
Afghanistan,1955,-20000
Bangladesh,1955,-55096
Bhutan,1955,5000
India,1955,-105701
Iran,1955,-1088
Maldives,1955,-22
Nepal,1955,-40559
Pakistan,1955,-8255
Sri Lanka,1955,-16500
 Eastern and South-Eastern Asia,1955,205036
Eastern Asia,1955,-179625
China,1955,-256027
Hong Kong,1955,149239
Macao,1955,-32375
 Taiwan,1955,95002
North Korea,1955,-568413
Japan,1955,0
Mongolia,1955,0
South Korea,1955,432950
South-Eastern Asia,1955,384661
Brunei,1955,6699
Cambodia,1955,0
Indonesia,1955,378717
Laos,1955,-10
Malaysia,1955,-17181
Myanmar,1955,0
Philippines,1955,-49122
Singapore,1955,65558
Thailand,1955,0
Timor-Leste,1955,0
Vietnam,1955,0
Latin America and the Caribbean,1955,-473777
Caribbean,1955,-505484
Antigua and Barbuda,1955,-973
Aruba,1955,-1580
Bahamas,1955,-921
Barbados,1955,-5960
Cuba,1955,-30000
Curacao,1955,2619
Dominican Republic,1955,-18957
Grenada,1955,-6100
Guadeloupe,1955,-2805
Haiti,1955,-29999
Jamaica,1955,-38941
Martinique,1955,-8004
Puerto Rico,1955,-335936
Saint Lucia,1955,-8729
Saint Vincent and the Grenadines,1955,-5228
Trinidad and Tobago,1955,-3821
United States Virgin Islands,1955,-302
Central America,1955,-321848
Belize,1955,-2956
Costa Rica,1955,4912
El Salvador,1955,-62152
Guatemala,1955,-2865
Honduras,1955,-2001
Mexico,1955,-231909
Nicaragua,1955,-10810
Panama,1955,-14066
South America,1955,353555
Argentina,1955,280091
Bolivia,1955,-23860
Brazil,1955,298175
Chile,1955,-123955
Colombia,1955,-208405
Ecuador,1955,-2000
French Guiana,1955,231
Guyana,1955,1676
Paraguay,1955,-79370
Peru,1955,-15500
Suriname,1955,-3423
Uruguay,1955,10000
Venezuela,1955,220074
Australia/New Zealand,1955,458419
Australia,1955,396007
New Zealand,1955,62412
Oceania (excluding Australia and New Zealand),1955,-38896
Melanesia,1955,-21080
Fiji,1955,-7225
New Caledonia,1955,-3462
Papua New Guinea,1955,-12324
Solomon Islands,1955,2826
Vanuatu,1955,-895
Micronesia (country),1955,-5175
Guam,1955,-3842
Kiribati,1955,-646
Micronesia (region),1955,456
Polynesia,1955,-12641
French Polynesia,1955,-1286
Samoa,1955,-4981
Tonga,1955,-1343
Europe and Northern America,1955,-329810
Europe,1955,-1751713
Eastern Europe,1955,-170984
Belarus,1955,-388179
Bulgaria,1955,-100895
Czechia,1955,59997
Hungary,1955,24754
Poland,1955,0
Moldova,1955,90096
Romania,1955,-2001
Russia,1955,32795
Slovakia,1955,68523
Ukraine,1955,43926
Northern Europe,1955,-598684
Channel Islands,1955,2186
Denmark,1955,-18280
Estonia,1955,36999
Finland,1955,-32540
Iceland,1955,-413
Ireland,1955,-170354
Latvia,1955,28718
Lithuania,1955,-73350
Norway,1955,-3962
Sweden,1955,52052
United Kingdom,1955,-415028
Southern Europe,1955,-1170242
Albania,1955,-99
Bosnia and Herzegovina,1955,-50002
Croatia,1955,-18
Greece,1955,-70009
Italy,1955,-236164
Malta,1955,-29215
Montenegro,1955,9999
North Macedonia,1955,0
Portugal,1955,-307374
Serbia,1955,35206
Slovenia,1955,-20000
Spain,1955,-505033
Western Europe,1955,188197
Austria,1955,-77999
Belgium,1955,53710
France,1955,214483
Germany,1955,-42001
Luxembourg,1955,5756
Netherlands,1955,-84929
Switzerland,1955,119036
Northern America,1955,1421903
Canada,1955,555781
United States,1955,867763
World,1960,0
More developed regions,1960,142046
Less developed regions,1960,-142046
Least developed countries,1960,-646494
"Less developed regions, excluding least developed countries",1960,504448
"Less developed regions, excluding China",1960,-207733
Land-locked Developing Countries (LLDC),1960,784908
Small Island Developing States (SIDS),1960,-541831
High-income countries,1960,2418273
Middle-income countries,1960,-1951782
Upper-middle-income countries,1960,-1514093
Lower-middle-income countries,1960,-437689
Low-income countries,1960,-469450
No income group available,1960,2959
Africa,1960,-736133
Asia,1960,1658823
Europe,1960,-2885098
Latin America and the Caribbean,1960,-1138508
Northern America,1960,2688711
Oceania,1960,412205
Sub-Saharan Africa,1960,-344753
Eastern Africa,1960,-122621
Burundi,1960,-70048
Comoros,1960,-6116
Djibouti,1960,5000
Eritrea,1960,3000
Ethiopia,1960,-20000
Kenya,1960,0
Madagascar,1960,0
Malawi,1960,0
Mauritius,1960,-8096
Mayotte,1960,2459
Mozambique,1960,-23500
Reunion,1960,-3943
Rwanda,1960,0
Seychelles,1960,-2561
Somalia,1960,-1328
South Sudan,1960,0
Uganda,1960,0
 Tanzania,1960,10017
Zambia,1960,0
Zimbabwe,1960,-7504
Middle Africa,1960,-100866
Angola,1960,-172887
Cameroon,1960,0
Central African Republic,1960,0
Chad,1960,-2500
Congo,1960,0
Democratic Republic of Congo,1960,75000
Equatorial Guinea,1960,0
Gabon,1960,2999
Sao Tome and Principe,1960,-3478
Southern Africa,1960,-49748
Botswana,1960,-30622
Eswatini,1960,-8048
Lesotho,1960,-25998
Namibia,1960,0
South Africa,1960,14920
Western Africa,1960,-71518
Benin,1960,-23001
Burkina Faso,1960,-102159
Cape Verde,1960,-22773
Cote d'Ivoire,1960,100515
Gambia,1960,5041
Ghana,1960,60003
Guinea,1960,0
Guinea-Bissau,1960,-9982
Liberia,1960,7983
Mali,1960,-49070
Mauritania,1960,-1600
Niger,1960,-25124
Nigeria,1960,2706
Senegal,1960,44046
Sierra Leone,1960,0
Togo,1960,-57336
Northern Africa and Western Asia,1960,-79490
Northern Africa,1960,-391380
Algeria,1960,-191853
Egypt,1960,-50100
Libya,1960,46022
Morocco,1960,-13001
Sudan,1960,0
Tunisia,1960,-190748
Western Sahara,1960,8300
Western Asia,1960,311890
Armenia,1960,59930
Azerbaijan,1960,0
Bahrain,1960,7861
Cyprus,1960,-6648
Georgia,1960,68186
Iraq,1960,-1100
Israel,1960,168566
Jordan,1960,119958
Kuwait,1960,52750
Lebanon,1960,40000
Oman,1960,-10000
Qatar,1960,4553
Saudi Arabia,1960,25969
Palestine,1960,-67957
Syria,1960,-15000
Turkey,1960,-60003
United Arab Emirates,1960,-175
Yemen,1960,-75000
 Central and Southern Asia,1960,809851
Central Asia,1960,1151386
Kazakhstan,1960,985780
Kyrgyzstan,1960,28204
Tajikistan,1960,8361
Turkmenistan,1960,30021
Uzbekistan,1960,99020
Southern Asia,1960,-341535
Afghanistan,1960,-20000
Bangladesh,1960,1484
Bhutan,1960,5000
India,1960,-154023
Iran,1960,-1947
Maldives,1960,-116
Nepal,1960,-80231
Pakistan,1960,-16702
Sri Lanka,1960,-75000
 Eastern and South-Eastern Asia,1960,537082
Eastern Asia,1960,276083
China,1960,-59500
Hong Kong,1960,163967
Macao,1960,-43780
 Taiwan,1960,5000
North Korea,1960,0
Japan,1960,-99999
Mongolia,1960,0
South Korea,1960,310395
South-Eastern Asia,1960,260999
Brunei,1960,7008
Cambodia,1960,0
Indonesia,1960,402680
Laos,1960,46
Malaysia,1960,-62842
Myanmar,1960,0
Philippines,1960,-153917
Singapore,1960,68024
Thailand,1960,0
Timor-Leste,1960,0
Vietnam,1960,0
Latin America and the Caribbean,1960,-1138508
Caribbean,1960,-530265
Antigua and Barbuda,1960,-1498
Aruba,1960,2784
Bahamas,1960,7881
Barbados,1960,-18629
Cuba,1960,-55000
Curacao,1960,-5986
Dominican Republic,1960,-31722
Grenada,1960,-5730
Guadeloupe,1960,5503
Haiti,1960,-34999
Jamaica,1960,-149844
Martinique,1960,35
Puerto Rico,1960,-207687
Saint Lucia,1960,-12530
Saint Vincent and the Grenadines,1960,-6270
Trinidad and Tobago,1960,-3686
United States Virgin Islands,1960,-537
Central America,1960,-366497
Belize,1960,-2744
Costa Rica,1960,7137
El Salvador,1960,-43880
Guatemala,1960,-4247
Honduras,1960,-12002
Mexico,1960,-287484
Nicaragua,1960,-11020
Panama,1960,-12257
South America,1960,-241746
Argentina,1960,140833
Bolivia,1960,-11760
Brazil,1960,0
Chile,1960,-129110
Colombia,1960,-232794
Ecuador,1960,-7999
French Guiana,1960,706
Guyana,1960,-1305
Paraguay,1960,-75020
Peru,1960,-19500
Suriname,1960,-5416
Uruguay,1960,20000
Venezuela,1960,79820
Australia/New Zealand,1960,438432
Australia,1960,399557
New Zealand,1960,38875
Oceania (excluding Australia and New Zealand),1960,-26227
Melanesia,1960,-2794
Fiji,1960,-10676
New Caledonia,1960,2454
Papua New Guinea,1960,3155
Solomon Islands,1960,3152
Vanuatu,1960,-879
Micronesia (country),1960,-5337
Guam,1960,-4552
Kiribati,1960,-766
Micronesia (region),1960,447
Polynesia,1960,-18096
French Polynesia,1960,-2427
Samoa,1960,-4473
Tonga,1960,-4686
Europe and Northern America,1960,-196387
Europe,1960,-2885098
Eastern Europe,1960,-2054472
Belarus,1960,-164536
Bulgaria,1960,-43465
Czechia,1960,-36387
Hungary,1960,-174316
Poland,1960,-268051
Moldova,1960,141570
Romania,1960,-2001
Russia,1960,-1202955
Slovakia,1960,17987
Ukraine,1960,-322318
Northern Europe,1960,-92412
Channel Islands,1960,2251
Denmark,1960,-32640
Estonia,1960,26899
Finland,1960,-27747
Iceland,1960,323
Ireland,1960,-207241
Latvia,1960,66970
Lithuania,1960,-24501
Norway,1960,-9438
Sweden,1960,47266
United Kingdom,1960,69966
Southern Europe,1960,-1718532
Albania,1960,-99
Bosnia and Herzegovina,1960,-50002
Croatia,1960,-18
Greece,1960,-201529
Italy,1960,-554545
Malta,1960,-27724
Montenegro,1960,-2001
North Macedonia,1960,-44940
Portugal,1960,-326554
Serbia,1960,-50057
Slovenia,1960,-9672
Spain,1960,-455026
Western Europe,1960,980318
Austria,1960,-52002
Belgium,1960,46636
France,1960,830406
Germany,1960,39829
Luxembourg,1960,4191
Netherlands,1960,-22221
Switzerland,1960,129958
Northern America,1960,2688711
Canada,1960,564799
United States,1960,2124893
World,1965,-1
More developed regions,1965,2510135
Less developed regions,1965,-2510136
Least developed countries,1965,-1005998
"Less developed regions, excluding least developed countries",1965,-1504138
"Less developed regions, excluding China",1965,-1626966
Land-locked Developing Countries (LLDC),1965,543291
Small Island Developing States (SIDS),1965,-762950
High-income countries,1965,4095797
Middle-income countries,1965,-3587178
Upper-middle-income countries,1965,-3631210
Lower-middle-income countries,1965,44032
Low-income countries,1965,-496773
No income group available,1965,-11847
Africa,1965,-1036680
Asia,1965,-45
Europe,1965,209261
Latin America and the Caribbean,1965,-1623833
Northern America,1965,2013491
Oceania,1965,437805
Sub-Saharan Africa,1965,-379735
Eastern Africa,1965,-205584
Burundi,1965,-84989
Comoros,1965,-8491
Djibouti,1965,18000
Eritrea,1965,6997
Ethiopia,1965,-19999
Kenya,1965,-20000
Madagascar,1965,0
Malawi,1965,0
Mauritius,1965,-30869
Mayotte,1965,2314
Mozambique,1965,-23500
Reunion,1965,-2436
Rwanda,1965,-140001
Seychelles,1965,-984
Somalia,1965,-1328
South Sudan,1965,0
Uganda,1965,124999
 Tanzania,1965,25040
Zambia,1965,-35328
Zimbabwe,1965,-15009
Middle Africa,1965,-163881
Angola,1965,-296717
Cameroon,1965,0
Central African Republic,1965,11930
Chad,1965,-5000
Congo,1965,0
Democratic Republic of Congo,1965,122650
Equatorial Guinea,1965,2998
Gabon,1965,9410
Sao Tome and Principe,1965,-9152
Southern Africa,1965,47104
Botswana,1965,-22436
Eswatini,1965,-12011
Lesotho,1965,-24999
Namibia,1965,0
South Africa,1965,106550
Western Africa,1965,-57374
Benin,1965,-24295
Burkina Faso,1965,-144723
Cape Verde,1965,-1167
Cote d'Ivoire,1965,200706
Gambia,1965,5282
Ghana,1965,30000
Guinea,1965,0
Guinea-Bissau,1965,-20001
Liberia,1965,7996
Mali,1965,-70243
Mauritania,1965,-1820
Niger,1965,-11545
Nigeria,1965,1020
Senegal,1965,50002
Sierra Leone,1965,0
Togo,1965,-77885
Northern Africa and Western Asia,1965,-310578
Northern Africa,1965,-656945
Algeria,1965,-282941
Egypt,1965,-50100
Libya,1965,45891
Morocco,1965,-239800
Sudan,1965,0
Tunisia,1965,-142495
Western Sahara,1965,12500
Western Asia,1965,346367
Armenia,1965,70335
Azerbaijan,1965,0
Bahrain,1965,-4195
Cyprus,1965,-43025
Georgia,1965,96284
Iraq,1965,-1862
Israel,1965,209496
Jordan,1965,35715
Kuwait,1965,137000
Lebanon,1965,20000
Oman,1965,-10000
Qatar,1965,16393
Saudi Arabia,1965,125989
Palestine,1965,-77646
Syria,1965,-16000
Turkey,1965,-149999
United Arab Emirates,1965,37882
Yemen,1965,-100000
 Central and Southern Asia,1965,577018
Central Asia,1965,1038973
Kazakhstan,1965,694120
Kyrgyzstan,1965,103107
Tajikistan,1965,53337
Turkmenistan,1965,26783
Uzbekistan,1965,161627
Southern Asia,1965,-461956
Afghanistan,1965,-20000
Bangladesh,1965,-142378
Bhutan,1965,5000
India,1965,-85391
Iran,1965,-7838
Maldives,1965,-581
Nepal,1965,-70000
Pakistan,1965,-93268
Sri Lanka,1965,-47500
 Eastern and South-Eastern Asia,1965,-923430
Eastern Asia,1965,-1103657
China,1965,-1125727
Hong Kong,1965,-27385
Macao,1965,19062
 Taiwan,1965,250880
North Korea,1965,0
Japan,1965,-151351
Mongolia,1965,0
South Korea,1965,-69136
South-Eastern Asia,1965,180227
Brunei,1965,6422
Cambodia,1965,0
Indonesia,1965,449965
Laos,1965,76
Malaysia,1965,-58601
Myanmar,1965,0
Philippines,1965,-218063
Singapore,1965,428
Thailand,1965,0
Timor-Leste,1965,0
Vietnam,1965,0
Latin America and the Caribbean,1965,-1623833
Caribbean,1965,-659858
Antigua and Barbuda,1965,-1880
Aruba,1965,-4323
Bahamas,1965,13873
Barbados,1965,-17960
Cuba,1965,-204043
Curacao,1965,-7752
Dominican Republic,1965,-43490
Grenada,1965,-9450
Guadeloupe,1965,-10981
Haiti,1965,-51997
Jamaica,1965,-143938
Martinique,1965,-8196
Puerto Rico,1965,-91587
Saint Lucia,1965,-9187
Saint Vincent and the Grenadines,1965,-9356
Trinidad and Tobago,1965,-56797
United States Virgin Islands,1965,10270
Central America,1965,-492890
Belize,1965,-2418
Costa Rica,1965,7905
El Salvador,1965,-24031
Guatemala,1965,-10311
Honduras,1965,-29002
Mexico,1965,-409085
Nicaragua,1965,-14020
Panama,1965,-11928
South America,1965,-471085
Argentina,1965,122000
Bolivia,1965,-20760
Brazil,1965,0
Chile,1965,-146900
Colombia,1965,-306563
Ecuador,1965,-9002
French Guiana,1965,3474
Guyana,1965,-14669
Paraguay,1965,-70930
Peru,1965,-29300
Suriname,1965,-11050
Uruguay,1965,-6000
Venezuela,1965,18870
Australia/New Zealand,1965,438734
Australia,1965,384343
New Zealand,1965,54391
Oceania (excluding Australia and New Zealand),1965,-929
Melanesia,1965,7459
Fiji,1965,-3455
New Caledonia,1965,3347
Papua New Guinea,1965,5860
Solomon Islands,1965,2359
Vanuatu,1965,-652
Micronesia (country),1965,-2960
Guam,1965,-2905
Kiribati,1965,-786
Micronesia (region),1965,454
Polynesia,1965,-5428
French Polynesia,1965,3190
Samoa,1965,-3402
Tonga,1965,424
Europe and Northern America,1965,2222752
Europe,1965,209261
Eastern Europe,1965,-1002267
Belarus,1965,-125387
Bulgaria,1965,-1437
Czechia,1965,24999
Hungary,1965,21715
Poland,1965,-62544
Moldova,1965,100890
Romania,1965,-2001
Russia,1965,-1387844
Slovakia,1965,-26427
Ukraine,1965,455769
Northern Europe,1965,203611
Channel Islands,1965,2934
Denmark,1965,2256
Estonia,1965,43228
Finland,1965,-64983
Iceland,1965,-732
Ireland,1965,-105837
Latvia,1965,79651
Lithuania,1965,24715
Norway,1965,-2274
Sweden,1965,80351
United Kingdom,1965,143068
Southern Europe,1965,-1432888
Albania,1965,-99
Bosnia and Herzegovina,1965,-50002
Croatia,1965,1854
Greece,1965,-256690
Italy,1965,-230527
Malta,1965,-11710
Montenegro,1965,-2001
North Macedonia,1965,-40940
Portugal,1965,-545329
Serbia,1965,-88140
Slovenia,1965,-22059
Spain,1965,-193807
Western Europe,1965,2440805
Austria,1965,15996
Belgium,1965,38304
France,1965,1417869
Germany,1965,669314
Luxembourg,1965,8527
Netherlands,1965,11589
Switzerland,1965,277152
Northern America,1965,2013491
Canada,1965,178691
United States,1965,1835728
World,1970,0
More developed regions,1970,3454499
Less developed regions,1970,-3454499
Least developed countries,1970,-1203458
"Less developed regions, excluding least developed countries",1970,-2251041
"Less developed regions, excluding China",1970,-3751178
Land-locked Developing Countries (LLDC),1970,379138
Small Island Developing States (SIDS),1970,-917931
High-income countries,1970,4398284
Middle-income countries,1970,-4201074
Upper-middle-income countries,1970,-2329679
Lower-middle-income countries,1970,-1871395
Low-income countries,1970,-184569
No income group available,1970,-12641
Africa,1970,-1312622
Asia,1970,891945
Europe,1970,-340533
Latin America and the Caribbean,1970,-2194350
Northern America,1970,2168760
Oceania,1970,786800
Sub-Saharan Africa,1970,-445482
Eastern Africa,1970,-100195
Burundi,1970,-57900
Comoros,1970,-5500
Djibouti,1970,25000
Eritrea,1970,4999
Ethiopia,1970,-42182
Kenya,1970,-19535
Madagascar,1970,-8000
Malawi,1970,0
Mauritius,1970,-29156
Mayotte,1970,454
Mozambique,1970,-23500
Reunion,1970,12306
Rwanda,1970,20000
Seychelles,1970,-1110
Somalia,1970,1910
South Sudan,1970,0
Uganda,1970,50004
 Tanzania,1970,36058
Zambia,1970,-22042
Zimbabwe,1970,-42001
Middle Africa,1970,-352707
Angola,1970,-587286
Cameroon,1970,-1000
Central African Republic,1970,13145
Chad,1970,-40950
Congo,1970,0
Democratic Republic of Congo,1970,242939
Equatorial Guinea,1970,5001
Gabon,1970,16187
Sao Tome and Principe,1970,-744
Southern Africa,1970,147718
Botswana,1970,-24198
Eswatini,1970,-3966
Lesotho,1970,-22399
Namibia,1970,-1078
South Africa,1970,199359
Western Africa,1970,-140298
Benin,1970,-23742
Burkina Faso,1970,-144723
Cape Verde,1970,4267
Cote d'Ivoire,1970,200706
Gambia,1970,13403
Ghana,1970,-260132
Guinea,1970,0
Guinea-Bissau,1970,-7230
Liberia,1970,7996
Mali,1970,-98235
Mauritania,1970,-2760
Niger,1970,-11545
Nigeria,1970,-43347
Senegal,1970,86522
Sierra Leone,1970,0
Togo,1970,138923
Northern Africa and Western Asia,1970,-803434
Northern Africa,1970,-867140
Algeria,1970,-121335
Egypt,1970,-239700
Libya,1970,48002
Morocco,1970,-474734
Sudan,1970,0
Tunisia,1970,-96523
Western Sahara,1970,17150
Western Asia,1970,63706
Armenia,1970,103399
Azerbaijan,1970,-40000
Bahrain,1970,-8032
Cyprus,1970,-7843
Georgia,1970,85200
Iraq,1970,-6877
Israel,1970,72440
Jordan,1970,255435
Kuwait,1970,146600
Lebanon,1970,-70002
Oman,1970,-5000
Qatar,1970,21061
Saudi Arabia,1970,187007
Palestine,1970,-281841
Syria,1970,-16000
Turkey,1970,-180001
United Arab Emirates,1970,53823
Yemen,1970,-245662
 Central and Southern Asia,1970,82258
Central Asia,1970,817628
Kazakhstan,1970,173343
Kyrgyzstan,1970,104185
Tajikistan,1970,65780
Turkmenistan,1970,28147
Uzbekistan,1970,446173
Southern Asia,1970,-735370
Afghanistan,1970,-20000
Bangladesh,1970,-161822
Bhutan,1970,10000
India,1970,-342846
Iran,1970,51755
Maldives,1970,-2904
Nepal,1970,-21075
Pakistan,1970,-209978
Sri Lanka,1970,-38500
 Eastern and South-Eastern Asia,1970,745981
Eastern Asia,1970,1037538
China,1970,-160002
Hong Kong,1970,71590
Macao,1970,33602
 Taiwan,1970,351489
North Korea,1970,0
Japan,1970,822703
Mongolia,1970,0
South Korea,1970,-81844
South-Eastern Asia,1970,-291557
Brunei,1970,10843
Cambodia,1970,-248418
Indonesia,1970,556062
Laos,1970,30
Malaysia,1970,-139279
Myanmar,1970,0
Philippines,1970,-470430
Singapore,1970,-365
Thailand,1970,0
Timor-Leste,1970,0
Vietnam,1970,0
