Country,Year,undesa_net_number_of_migrants
Indonesia,2005,-1149655
Laos,2005,-148100
Malaysia,2005,671473
Myanmar,2005,-1208092
Philippines,2005,-1244356
Singapore,2005,92772
Thailand,2005,373746
Timor-Leste,2005,-27870
Vietnam,2005,-650999
Latin America and the Caribbean,2005,-5330704
Caribbean,2005,-728305
Antigua and Barbuda,2005,252
Aruba,2005,6263
Bahamas,2005,11877
Barbados,2005,-3188
Cuba,2005,-145629
Curacao,2005,-6070
Dominican Republic,2005,-152553
Grenada,2005,-3511
Guadeloupe,2005,-38122
Haiti,2005,-139999
Jamaica,2005,-92045
Martinique,2005,-4008
Puerto Rico,2005,-145704
Saint Lucia,2005,-804
Saint Vincent and the Grenadines,2005,-5298
Trinidad and Tobago,2005,-17490
United States Virgin Islands,2005,-5272
Central America,2005,-2952251
Belize,2005,5797
Costa Rica,2005,41792
El Salvador,2005,-312786
Guatemala,2005,-281050
Honduras,2005,-41999
Mexico,2005,-2206114
Nicaragua,2005,-174010
Panama,2005,16119
South America,2005,-1650148
Argentina,2005,-125000
Bolivia,2005,-77720
Brazil,2005,0
Chile,2005,42330
Colombia,2005,-231000
Ecuador,2005,-120002
French Guiana,2005,17299
Guyana,2005,-63249
Paraguay,2005,-47150
Peru,2005,-909782
Suriname,2005,-9124
Uruguay,2005,-104000
Venezuela,2005,-22740
Australia/New Zealand,2005,723911
Australia,2005,589282
New Zealand,2005,134629
Oceania (excluding Australia and New Zealand),2005,-215597
Melanesia,2005,-150034
Fiji,2005,-58598
New Caledonia,2005,4000
Papua New Guinea,2005,-84417
Solomon Islands,2005,-8445
Vanuatu,2005,-2574
Micronesia (country),2005,-34811
Guam,2005,-9556
Kiribati,2005,-1938
Micronesia (region),2005,-12284
Polynesia,2005,-30752
French Polynesia,2005,77
Samoa,2005,-15641
Tonga,2005,-7835
Europe and Northern America,2005,15564061
Europe,2005,9178958
Eastern Europe,2005,967210
Belarus,2005,-6382
Bulgaria,2005,-85500
Czechia,2005,47402
Hungary,2005,61589
Poland,2005,-183471
Moldova,2005,-12079
Romania,2005,-468204
Russia,2005,1778101
Slovakia,2005,1199
Ukraine,2005,-165445
Northern Europe,2005,1298372
Channel Islands,2005,1513
Denmark,2005,46306
Estonia,2005,-18406
Finland,2005,31935
Iceland,2005,2940
Ireland,2005,201467
Latvia,2005,-72490
Lithuania,2005,-99104
Norway,2005,67400
Sweden,2005,141723
United Kingdom,2005,992223
Southern Europe,2005,4416041
Albania,2005,-176774
Bosnia and Herzegovina,2005,-6000
Croatia,2005,-2580
Greece,2005,113586
Italy,2005,1664343
Malta,2005,5611
Montenegro,2005,-7999
North Macedonia,2005,-14572
Portugal,2005,178353
Serbia,2005,-276331
Slovenia,2005,14998
Spain,2005,2908209
Western Europe,2005,2497335
Austria,2005,178117
Belgium,2005,219560
France,2005,926483
Germany,2005,824445
Luxembourg,2005,14473
Netherlands,2005,146020
Switzerland,2005,186125
Northern America,2005,6385103
Canada,2005,1052013
United States,2005,5334893
World,2010,-1
More developed regions,2010,16945129
Less developed regions,2010,-16945130
Least developed countries,2010,-9562190
"Less developed regions, excluding least developed countries",2010,-7382940
"Less developed regions, excluding China",2010,-15148875
Land-locked Developing Countries (LLDC),2010,-3881623
Small Island Developing States (SIDS),2010,8991
High-income countries,2010,23278467
Middle-income countries,2010,-19335353
Upper-middle-income countries,2010,-3997476
Lower-middle-income countries,2010,-15337877
Low-income countries,2010,-3911691
No income group available,2010,-31424
Africa,2010,-3687038
Asia,2010,-9099767
Europe,2010,8643210
Latin America and the Caribbean,2010,-3793490
Northern America,2010,6751124
Oceania,2010,1185960
Sub-Saharan Africa,2010,-1344393
Eastern Africa,2010,-1569259
Burundi,2010,30004
Comoros,2010,-10000
Djibouti,2010,-12221
Eritrea,2010,-80009
Ethiopia,2010,-50132
Kenya,2010,-189330
Madagascar,2010,-7500
Malawi,2010,-59163
Mauritius,2010,-12079
Mayotte,2010,-2000
Mozambique,2010,-40000
Reunion,2010,-12422
Rwanda,2010,-79767
Seychelles,2010,-2725
Somalia,2010,-199997
South Sudan,2010,846611
Uganda,2010,-500000
 Tanzania,2010,-500853
Zambia,2010,-175000
Zimbabwe,2010,-512676
Middle Africa,2010,441340
Angola,2010,357301
Cameroon,2010,-54000
Central African Republic,2010,-125614
Chad,2010,75000
Congo,2010,91771
Democratic Republic of Congo,2010,-43426
Equatorial Guinea,2010,80001
Gabon,2010,63698
Sao Tome and Principe,2010,-3391
Southern Africa,2010,767167
Botswana,2010,26928
Eswatini,2010,-38219
Lesotho,2010,-92476
Namibia,2010,8713
South Africa,2010,862221
Western Africa,2010,-983641
Benin,2010,-48776
Burkina Faso,2010,-125000
Cape Verde,2010,-11341
Cote d'Ivoire,2010,-200000
Gambia,2010,-15436
Ghana,2010,150000
Guinea,2010,-311422
Guinea-Bissau,2010,-17502
Liberia,2010,175585
Mali,2010,-100823
Mauritania,2010,10001
Niger,2010,-20001
Nigeria,2010,-300000
Senegal,2010,-218014
Sierra Leone,2010,60000
Togo,2010,-10598
Northern Africa and Western Asia,2010,4010244
Northern Africa,2010,-2342645
Algeria,2010,-357340
Egypt,2010,-283573
Libya,2010,-118555
Morocco,2010,-565140
Sudan,2010,-982687
Tunisia,2010,-40641
Western Sahara,2010,5291
Western Asia,2010,6352889
Armenia,2010,-183361
Azerbaijan,2010,53579
Bahrain,2010,272000
Cyprus,2010,58658
Georgia,2010,-119811
Iraq,2010,-1102117
Israel,2010,273635
Jordan,2010,649995
Kuwait,2010,479500
Lebanon,2010,-26882
Oman,2010,267000
Qatar,2010,914602
Saudi Arabia,2010,1073093
Palestine,2010,-103670
Syria,2010,370000
Turkey,2010,-50000
United Arab Emirates,2010,3592436
Yemen,2010,-65768
 Central and Southern Asia,2010,-9818745
Central Asia,2010,-460435
Kazakhstan,2010,-35196
Kyrgyzstan,2010,-76604
Tajikistan,2010,-145788
Turkmenistan,2010,-62717
Uzbekistan,2010,-140130
Southern Asia,2010,-9358310
Afghanistan,2010,-1046361
Bangladesh,2010,-3254778
Bhutan,2010,-10971
India,2010,-2655844
Iran,2010,-576900
Maldives,2010,17994
Nepal,2010,-971580
Pakistan,2010,-339805
Sri Lanka,2010,-520065
 Eastern and South-Eastern Asia,2010,-5633911
Eastern Asia,2010,-1710900
China,2010,-2178385
Hong Kong,2010,89747
Macao,2010,42381
 Taiwan,2010,250002
North Korea,2010,-24681
Japan,2010,277580
Mongolia,2010,-10998
South Korea,2010,-156546
South-Eastern Asia,2010,-3923011
Brunei,2010,-2257
Cambodia,2010,-295987
Indonesia,2010,-1333685
Laos,2010,-110258
Malaysia,2010,761878
Myanmar,2010,-1336928
Philippines,2010,-1548077
Singapore,2010,721338
Thailand,2010,59008
Timor-Leste,2010,-38074
Vietnam,2010,-799969
Latin America and the Caribbean,2010,-3793490
Caribbean,2010,-767418
Antigua and Barbuda,2010,1887
Aruba,2010,-441
Bahamas,2010,14536
Barbados,2010,-249
Cuba,2010,-240000
Curacao,2010,15363
Dominican Republic,2010,-153773
Grenada,2010,-3526
Guadeloupe,2010,-12268
Haiti,2010,-138004
Jamaica,2010,-87319
Martinique,2010,-14113
Puerto Rico,2010,-138043
Saint Lucia,2010,4360
Saint Vincent and the Grenadines,2010,-5696
Trinidad and Tobago,2010,-18605
United States Virgin Islands,2010,-6267
Central America,2010,-1081011
Belize,2010,8722
Costa Rica,2010,30339
El Salvador,2010,-285671
Guatemala,2010,-114231
Honduras,2010,-25000
Mexico,2010,-562404
Nicaragua,2010,-155010
Panama,2010,22244
South America,2010,-1945061
Argentina,2010,-120000
Bolivia,2010,-67700
Brazil,2010,0
Chile,2010,107169
Colombia,2010,-195000
Ecuador,2010,-44999
French Guiana,2010,3004
Guyana,2010,-50078
Paraguay,2010,-117900
Peru,2010,-1202758
Suriname,2010,-6485
Uruguay,2010,-50000
Venezuela,2010,-200220
Australia/New Zealand,2010,1273215
Australia,2010,1210802
New Zealand,2010,62413
Oceania (excluding Australia and New Zealand),2010,-87255
Melanesia,2010,-939
Fiji,2010,-23691
New Caledonia,2010,1705
Papua New Guinea,2010,38578
Solomon Islands,2010,-14256
Vanuatu,2010,-3275
Micronesia (country),2010,-39802
Guam,2010,-9776
Kiribati,2010,-295
Micronesia (region),2010,-12278
Polynesia,2010,-46514
French Polynesia,2010,-9019
Samoa,2010,-15085
Tonga,2010,-7761
Europe and Northern America,2010,15394334
Europe,2010,8643210
Eastern Europe,2010,1842570
Belarus,2010,63933
Bulgaria,2010,-83742
Czechia,2010,250889
Hungary,2010,25150
Poland,2010,-178456
Moldova,2010,-47911
Romania,2010,-774651
Russia,2010,2326672
Slovakia,2010,-8855
Ukraine,2010,269541
Northern Europe,2010,2726465
Channel Islands,2010,5970
Denmark,2010,87989
Estonia,2010,-15151
Finland,2010,57558
Iceland,2010,12007
Ireland,2010,197285
Latvia,2010,-86594
Lithuania,2010,-150930
Norway,2010,163433
Sweden,2010,262453
United Kingdom,2010,2189404
Southern Europe,2010,2681977
Albania,2010,-217358
Bosnia and Herzegovina,2010,-59246
Croatia,2010,-10499
Greece,2010,-370769
Italy,2010,1050948
Malta,2010,5737
Montenegro,2010,-683
North Macedonia,2010,-7399
Portugal,2010,92133
Serbia,2010,-119556
Slovenia,2010,39348
Spain,2010,2273848
Western Europe,2010,1392198
Austria,2010,153763
Belgium,2010,294270
France,2010,446120
Germany,2010,43087
Luxembourg,2010,42279
Netherlands,2010,65713
Switzerland,2010,344872
Northern America,2010,6751124
Canada,2010,1326431
United States,2010,5428756
World,2015,2
More developed regions,2015,14527443
Less developed regions,2015,-14527441
Least developed countries,2015,-7625020
"Less developed regions, excluding least developed countries",2015,-6902421
"Less developed regions, excluding China",2015,-13262473
Land-locked Developing Countries (LLDC),2015,-3803020
Small Island Developing States (SIDS),2015,-531273
High-income countries,2015,18325941
Middle-income countries,2015,-8057995
Upper-middle-income countries,2015,3312743
Lower-middle-income countries,2015,-11370738
Low-income countries,2015,-10216206
No income group available,2015,-51738
Africa,2015,-4261285
Asia,2015,-6954301
Europe,2015,6890321
Latin America and the Caribbean,2015,-2830384
Northern America,2015,6198719
Oceania,2015,956932
Sub-Saharan Africa,2015,-2484680
Eastern Africa,2015,-1776410
Burundi,2015,-70001
Comoros,2015,-10000
Djibouti,2015,6002
Eritrea,2015,-246000
Ethiopia,2015,399997
Kenya,2015,-50000
Madagascar,2015,-7500
Malawi,2015,-80263
Mauritius,2015,-12079
Mayotte,2015,-1500
Mozambique,2015,-25000
Reunion,2015,-14141
Rwanda,2015,-108094
Seychelles,2015,-1000
Somalia,2015,-233405
South Sudan,2015,-100000
Uganda,2015,-299994
 Tanzania,2015,-250435
Zambia,2015,-50000
Zimbabwe,2015,-622997
Middle Africa,2015,-28886
Angola,2015,166267
Cameroon,2015,-36000
Central African Republic,2015,-396129
Chad,2015,100000
Congo,2015,-60000
Democratic Republic of Congo,2015,15060
Equatorial Guinea,2015,89999
Gabon,2015,100317
Sao Tome and Principe,2015,-8400
Southern Africa,2015,720057
Botswana,2015,-73138
Eswatini,2015,-41764
Lesotho,2015,-47704
Namibia,2015,-37034
South Africa,2015,919697
Western Africa,2015,-1399441
Benin,2015,-42268
Burkina Faso,2015,-125000
Cape Verde,2015,-8029
Cote d'Ivoire,2015,-80000
Gambia,2015,-15436
Ghana,2015,-50000
Guinea,2015,-293749
Guinea-Bissau,2015,-7005
Liberia,2015,25000
Mali,2015,-302449
Mauritania,2015,25002
Niger,2015,18911
Nigeria,2015,-300000
Senegal,2015,-214002
Sierra Leone,2015,-21000
Togo,2015,-9994
Northern Africa and Western Asia,2015,1950200
Northern Africa,2015,-1776605
Algeria,2015,-143268
Egypt,2015,-280944
Libya,2015,-300002
Morocco,2015,-367108
Sudan,2015,-538145
Tunisia,2015,-150000
Western Sahara,2015,2862
Western Asia,2015,3726805
Armenia,2015,-30535
Azerbaijan,2015,8499
Bahrain,2015,42000
Cyprus,2015,22509
Georgia,2015,-95340
Iraq,2015,1303607
Israel,2015,19497
Jordan,2015,1056759
Kuwait,2015,580000
Lebanon,2015,1192354
Oman,2015,885782
Qatar,2015,604852
Saudi Arabia,2015,1722804
Palestine,2015,-157065
Syria,2015,-5386986
Turkey,2015,1763078
United Arab Emirates,2015,270000
Yemen,2015,-75010
 Central and Southern Asia,2015,-8370001
Central Asia,2015,-186991
Kazakhstan,2015,159807
Kyrgyzstan,2015,-93353
Tajikistan,2015,-136974
Turkmenistan,2015,-50002
Uzbekistan,2015,-66469
Southern Asia,2015,-8183010
Afghanistan,2015,521769
Bangladesh,2015,-2306839
Bhutan,2015,300
India,2015,-2350075
Iran,2015,-502345
Maldives,2015,58358
Nepal,2015,-2040239
Pakistan,2015,-1079167
Sri Lanka,2015,-484772
 Eastern and South-Eastern Asia,2015,-2311105
Eastern Asia,2015,-536927
China,2015,-1552209
Hong Kong,2015,74892
Macao,2015,42350
 Taiwan,2015,169999
North Korea,2015,-27013
Japan,2015,358133
Mongolia,2015,-4262
South Korea,2015,401183
South-Eastern Asia,2015,-1774178
Brunei,2015,-901
Cambodia,2015,-149999
Indonesia,2015,-454447
Laos,2015,-112313
Malaysia,2015,249999
Myanmar,2015,-528211
Philippines,2015,-834619
Singapore,2015,317028
Thailand,2015,167314
Timor-Leste,2015,-28030
Vietnam,2015,-399999
Latin America and the Caribbean,2015,-2830384
Caribbean,2015,-714222
Antigua and Barbuda,2015,943
Aruba,2015,1253
Bahamas,2015,4999
Barbados,2015,-397
Cuba,2015,-80000
Curacao,2015,6817
Dominican Republic,2015,-153000
Grenada,2015,-1000
Guadeloupe,2015,-15839
Haiti,2015,-150000
Jamaica,2015,-56658
Martinique,2015,-22635
Puerto Rico,2015,-242701
Saint Lucia,2015,0
Saint Vincent and the Grenadines,2015,-2934
Trinidad and Tobago,2015,-3999
United States Virgin Islands,2015,-4501
Central America,2015,-822686
Belize,2015,7594
Costa Rica,2015,19658
El Salvador,2015,-240415
Guatemala,2015,-50131
Honduras,2015,-30000
Mexico,2015,-422477
Nicaragua,2015,-135020
Panama,2015,28105
South America,2015,-1293476
Argentina,2015,30000
Bolivia,2015,-57620
Brazil,2015,15924
Chile,2015,163730
Colombia,2015,-193380
Ecuador,2015,-38001
French Guiana,2015,-1057
Guyana,2015,-34999
Paraguay,2015,-87130
Peru,2015,-624809
Suriname,2015,-5000
Uruguay,2015,-30000
Venezuela,2015,-431040
Australia/New Zealand,2015,1080270
Australia,2015,989375
New Zealand,2015,90895
Oceania (excluding Australia and New Zealand),2015,-123338
Melanesia,2015,-59159
Fiji,2015,-51950
New Caledonia,2015,3003
Papua New Guinea,2015,-3999
Solomon Islands,2015,-7998
Vanuatu,2015,1785
Micronesia (country),2015,-22922
Guam,2015,-7594
Kiribati,2015,-4123
Micronesia (region),2015,-2999
Polynesia,2015,-41257
French Polynesia,2015,-8016
Samoa,2015,-12189
Tonga,2015,-12992
Europe and Northern America,2015,13089040
Europe,2015,6890321
Eastern Europe,2015,1453920
Belarus,2015,72123
Bulgaria,2015,-24472
Czechia,2015,59997
Hungary,2015,29999
Poland,2015,-320806
Moldova,2015,-7020
Romania,2015,-300001
Russia,2015,1800600
Slovakia,2015,11346
Ukraine,2015,132154
Northern Europe,2015,1611447
Channel Islands,2015,3570
Denmark,2015,106841
Estonia,2015,-10516
Finland,2015,81416
Iceland,2015,-2163
Ireland,2015,-111819
Latvia,2015,-83325
Lithuania,2015,-146217
Norway,2015,221814
Sweden,2015,253958
United Kingdom,2015,1300231
Southern Europe,2015,425216
Albania,2015,-136590
Bosnia and Herzegovina,2015,-258529
Croatia,2015,-38493
Greece,2015,-161799
Italy,2015,1637369
Malta,2015,15505
Montenegro,2015,-3112
North Macedonia,2015,-8853
Portugal,2015,-140000
Serbia,2015,29559
Slovenia,2015,16571
Spain,2015,-520442
Western Europe,2015,3399738
Austria,2015,267172
Belgium,2015,258672
France,2015,423831
Germany,2015,1938576
Luxembourg,2015,48704
Netherlands,2015,62687
Switzerland,2015,397267
Northern America,2015,6198719
Canada,2015,1241416
United States,2015,4961716
World,2020,4
More developed regions,2020,14010486
Less developed regions,2020,-14010482
Least developed countries,2020,-4861815
"Less developed regions, excluding least developed countries",2020,-9148667
"Less developed regions, excluding China",2020,-12590032
Land-locked Developing Countries (LLDC),2020,-1811839
Small Island Developing States (SIDS),2020,-694605
High-income countries,2020,16243037
Middle-income countries,2020,-11759743
Upper-middle-income countries,2020,-1471945
Lower-middle-income countries,2020,-10287798
Low-income countries,2020,-4498393
No income group available,2020,15103
Africa,2020,-2315121
Asia,2020,-8645562
Europe,2020,6805054
Latin America and the Caribbean,2020,-2607495
Northern America,2020,5982000
Oceania,2020,781128
Sub-Saharan Africa,2020,-1565771
Eastern Africa,2020,-1312025
Burundi,2020,10003
Comoros,2020,-10000
Djibouti,2020,4501
Eritrea,2020,-199290
Ethiopia,2020,150002
Kenya,2020,-50000
Madagascar,2020,-7500
Malawi,2020,-80263
Mauritius,2020,0
Mayotte,2020,0
Mozambique,2020,-25000
Reunion,2020,-6280
Rwanda,2020,-44998
Seychelles,2020,-1000
Somalia,2020,-200002
South Sudan,2020,-870998
Uganda,2020,843469
 Tanzania,2020,-200381
Zambia,2020,-40000
Zimbabwe,2020,-584288
Middle Africa,2020,5267
Angola,2020,32066
Cameroon,2020,-24000
Central African Republic,2020,-200000
Chad,2020,10000
Congo,2020,-20000
Democratic Republic of Congo,2020,119303
Equatorial Guinea,2020,79998
Gabon,2020,16300
Sao Tome and Principe,2020,-8401
Southern Africa,2020,625997
Botswana,2020,14999
Eswatini,2020,-41764
Lesotho,2020,-50234
Namibia,2020,-24030
South Africa,2020,727026
Western Africa,2020,-885010
Benin,2020,-10000
Burkina Faso,2020,-125000
Cape Verde,2020,-6709
Cote d'Ivoire,2020,-40000
Gambia,2020,-15436
Ghana,2020,-50000
Guinea,2020,-20000
Guinea-Bissau,2020,-6996
Liberia,2020,-25000
Mali,2020,-200000
Mauritania,2020,25002
Niger,2020,20001
Nigeria,2020,-300000
Senegal,2020,-100001
Sierra Leone,2020,-21000
Togo,2020,-9999
Northern Africa and Western Asia,2020,225210
Northern Africa,2020,-749350
Algeria,2020,-50002
Egypt,2020,-190164
Libya,2020,-9997
Morocco,2020,-257096
Sudan,2020,-250001
Tunisia,2020,-20000
Western Sahara,2020,27910
Western Asia,2020,974560
Armenia,2020,-24989
Azerbaijan,2020,6002
Bahrain,2020,239000
Cyprus,2020,25000
Georgia,2020,-50000
Iraq,2020,39171
Israel,2020,50002
Jordan,2020,51099
Kuwait,2020,197600
Lebanon,2020,-150060
Oman,2020,437000
Qatar,2020,200000
Saudi Arabia,2020,674895
Palestine,2020,-52816
Syria,2020,-2136954
Turkey,2020,1419610
United Arab Emirates,2020,200000
Yemen,2020,-150000
 Central and Southern Asia,2020,-6769678
Central Asia,2020,-279314
Kazakhstan,2020,-90000
Kyrgyzstan,2020,-20000
Tajikistan,2020,-99999
Turkmenistan,2020,-25001
Uzbekistan,2020,-44314
Southern Asia,2020,-6490364
Afghanistan,2020,-314602
Bangladesh,2020,-1847503
Bhutan,2020,1600
India,2020,-2663434
Iran,2020,-274998
Maldives,2020,56851
Nepal,2020,208549
Pakistan,2020,-1166895
Sri Lanka,2020,-489932
 Eastern and South-Eastern Asia,2020,-2850444
Eastern Asia,2020,-1035268
China,2020,-1741996
Hong Kong,2020,146542
Macao,2020,25000
 Taiwan,2020,150004
North Korea,2020,-27013
Japan,2020,357800
Mongolia,2020,-4262
South Korea,2020,58657
South-Eastern Asia,2020,-1815176
Brunei,2020,0
Cambodia,2020,-149999
Indonesia,2020,-494777
Laos,2020,-73518
Malaysia,2020,249999
Myanmar,2020,-816564
Philippines,2020,-335758
Singapore,2020,135142
Thailand,2020,97222
Timor-Leste,2020,-26924
Vietnam,2020,-399999
Latin America and the Caribbean,2020,-2607495
Caribbean,2020,-951328
Antigua and Barbuda,2020,0
Aruba,2020,1004
Bahamas,2020,4999
Barbados,2020,-397
Cuba,2020,-72000
Curacao,2020,2573
Dominican Republic,2020,-150000
Grenada,2020,-1000
Guadeloupe,2020,-7200
Haiti,2020,-175000
Jamaica,2020,-56658
Martinique,2020,-4800
Puerto Rico,2020,-489932
Saint Lucia,2020,0
Saint Vincent and the Grenadines,2020,-1000
Trinidad and Tobago,2020,-3999
United States Virgin Islands,2020,-2254
Central America,2020,-606127
Belize,2020,6000
Costa Rica,2020,21000
El Salvador,2020,-202694
Guatemala,2020,-46073
Honduras,2020,-34000
Mexico,2020,-300000
Nicaragua,2020,-106360
Panama,2020,56000
South America,2020,-1050040
Argentina,2020,24000
Bolivia,2020,-47520
Brazil,2020,106000
Chile,2020,558539
Colombia,2020,1023981
Ecuador,2020,182000
French Guiana,2020,6000
Guyana,2020,-30001
Paraguay,2020,-82780
Peru,2020,495345
Suriname,2020,-4999
Uruguay,2020,-15000
Venezuela,2020,-3266243
Australia/New Zealand,2020,865632
Australia,2020,791229
New Zealand,2020,74403
Oceania (excluding Australia and New Zealand),2020,-84504
Melanesia,2020,-39895
Fiji,2020,-31008
New Caledonia,2020,2510
Papua New Guinea,2020,-3999
Solomon Islands,2020,-7998
Vanuatu,2020,600
Micronesia (country),2020,-14787
Guam,2020,-2532
Kiribati,2020,-3999
Micronesia (region),2020,-2999
Polynesia,2020,-29822
French Polynesia,2020,-5000
Samoa,2020,-14013
Tonga,2020,-3999
Europe and Northern America,2020,12787054
Europe,2020,6805054
Eastern Europe,2020,605498
Belarus,2020,43648
Bulgaria,2020,-24001
Czechia,2020,110057
Hungary,2020,29999
Poland,2020,-146976
Moldova,2020,-6935
Romania,2020,-369997
Russia,2020,912279
Slovakia,2020,7423
Ukraine,2020,50001
Northern Europe,2020,1699590
Channel Islands,2020,6754
Denmark,2020,75998
Estonia,2020,19555
Finland,2020,70000
Iceland,2020,1900
Ireland,2020,118020
Latvia,2020,-74186
Lithuania,2020,-163902
Norway,2020,140000
Sweden,2020,200000
United Kingdom,2020,1303250
Southern Europe,2020,643230
Albania,2020,-69998
Bosnia and Herzegovina,2020,-107926
Croatia,2020,-40004
Greece,2020,-80000
Italy,2020,744713
Malta,2020,4501
Montenegro,2020,-2400
North Macedonia,2020,-4999
Portugal,2020,-30001
Serbia,2020,20000
Slovenia,2020,9999
Spain,2020,200000
Western Europe,2020,3856736
Austria,2020,324998
Belgium,2020,240000
France,2020,182636
Germany,2020,2719112
Luxembourg,2020,48704
Netherlands,2020,80000
Switzerland,2020,259999
Northern America,2020,5982000
Canada,2020,1210159
United States,2020,4774029
